,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
665,Uttaranchal University,Arcadia Grant P.O. Chandanwari Prem Nagar  Dehradun   Uttarakhand - 248007 ,www.uttaranchaluniversity.ac.in,"0135-2771946,2771947  0135-2772135",university@uttaranchaluniversity.ac.in,Prof. (Dr.) N. K. Joshi,0135-2770232,Sh Ajay Singh,0135-2770310
666,Techno Global University,Lateri Road Sirouj (Near Gosala) Distt. Vidisha   Madhya Pradesh - 464228 ,,  ,,Mr. S. R. Chowdhry,,Mr. Saifuddin (Academic Officer),
667,K.R. Mangalam University,Sohna Road  Gurgaon  Delhi - NCR     Haryana -  ,http://krmangalam.edu.in,8800697010-20   ,welcome@krmangalam.edu.in ,Prof. (Dr.) Aditya Malik,0124-2867800,Dr. Sandeep Singh Chib,0124-2867800
668,Jagran Lakecity University,Gram Panchayat Mugaliya Chhap Tehsil Huzur  Bhopal    Madhya Pradesh - 462044 ,http://www.jlu.edu.in,0755-6611138  ,info@jlu.edu.in,Prof. (Dr.) Anoop Swarup,0755-6611135,Prof Dr Vivek Khare,0755-6611137
669,Shree Guru Gobind Singh Tricentenary University ,Farukh Nagar Road  Budhera Distt.  Gurgaon  Haryana - 122 505    Haryana -  ,www.sgtunviersity.org,0124-2278184  0124-2278151,info@sgtedu.org,Dr. T.D. Dogra,0124-2278183  184  185  Extn - 2011 ,Shri A K Singh,0124-2278183  84  85  Extn - 2006
670,GD Goenka University,"G D Goenka Education City  Sohna Gurgaon Road,Sohna  Haryana Sohna Gurgaon Road Sohna  Haryana   Haryana -  ",http://www.gdgoenkauniversity.com,0124-3315900 ; 08800992021/22/23  0124-3315970,registrar@gdgu.org,Prof.(Dr.) Raj Singh,0124-3315900 Extn.4023,Dr.Nitesh Bansal,0124-3315900 Extn.4026
671,Apex Professional University,Pasighat  District East Siang     Arunachal Pradesh -  ,http://www.apexuniversity.ac.in,0368-2222223  2222202  ,info@apexuniversity.edu.in,Dr. Kanwal Singh,Null,Mr. V.S. Moray,Null
672,Sardar Patel University of Police  Security & Criminal Justice,Opp. Gramin Police line Mathania Road  Daijar Jodhpur   Rajasthan- 342 304 ,http://www.policeuniversity.ac.in,0291-3062000  ,,mr. M.L. Kumawat (Retd.IPS),0291-3062000,Mr. M.L. Nehra (RAS),0291-3062000
673,Jagan Nath University,State Highway 22   Bahadurgarh-Jhajjar Road  Jhajjar    Haryana - 124507  ,http://www.jagannathuniversityncr.ac.in,"01251-279700,01-04  ",admission@jagannathuniversityncr.ac.in,Professor (Dr.) H. L. Verma ,01251-279705,Dr. Varun Arora,01251-279723
674,Swami Rama Himalayan University,Swami Ram Nagar  PO-Doiwala  Dehradun    Uttarakhand -  ,,  ,,Dr. Vijay Dhasmana,0135-2471613 0135-2471614,Shri Nalin Bhatnagar,
675,Kumar Bhaskar Varma Sanskrit & Ancient Studies University,"Vill-Namati   P.O.- Hati Namati Dist-Nalbari,Assam   Assam - 781 337 ",http://www.kbvsasun.ac.in,03624-220142  Fax-03624-222418,kbvsasun@rediffmail.com,,,,
676,Raksha Shakti University,New Mental Corner Meghaninagar  Ahmedabad    Gujarat - 380 016 ,,079 - 22683624 079 - 22684173  079 - 22683762,academicbr@rakshashaktiuniversity.edu.in,,,,
677,Indian Institute of Teacher Education,Govt. College Campus  Nr. Mahatma Mandir  G-4  Sector-15 Gandhinagar   Gujarat - 382 016 ,,18002335500,osdiite@gmail.com,,,,
678,Karnataka Folklore University,#2/106  KASSIA Bldg  3rd Floor  17th Cross  Magadi Chord Road Vijayanagar  Banglore    Karnataka - 560 040 ,http://www.janapadauni.in,0836-2255180  ,kajavivi@gmail.com ,Prof. Ambalike Hiriyanna,08378-217106,,
679,Reva University,"Rukmani knowledge park  Kattigenahalli Yelahanka,Bangalore    Karnataka - 560064 ",http://www.reva.edu.in,"080-66226622  080-65687563,65",info@reva.edu.in,Prof. V G Talawar,66226622 Ext:204,Dr. M. Dhanamjaya,66226622 Ext:117
680,Shobhit University,Adarsh Institutional Area Babu Vijendra Marg Gangoh  Distt.- Saharanpur   Uttar Pradesh - 247 341 ,http://shobhituniversity.ac.in,0121-2575091/92  0121-2575724,mail@shobhituniversity.ac.in,Prof.(Dr.) D.K.Kaushik,01331-234333,Dr.Mahipal Singh,01331-236300
681,SRM University,Plot No. 39  Rajiv Gandhi Education City  Sonepat    Haryana - 11029 ,http://www.srmuniversity.ac.in,0130-2121214/15 Ext. No -710   ,vcsrmh@srmuniversity.ac.in  &  registrar@srmuniversity.ac.in,Dr. P. Prakash,0130-2203720,Dr. Manish Bhalla,0130-2121214/15 Ext. No-717
682,Himalayan University,401  Takar Complex  Nahalagun 401  Takar Complex  Naharlagun    Arunachal Pradesh - 791110 ,http://www.himalayanuniversity.com,0360-2350618  ,info@himalayanuniversity.com,Prof. (Dr) Durga Prosad Sorkhel (Ex. IAS),0360-2203618,Dr. Sachin S. Laddha,
683,Nalanda University,Rajgir  Dist: Nalanda     Bihar - 803 116 ,http://www.nalandauniv.edu.in,91-611-2255330  ,,Dr. Gopa Sabharwal,,,
684,South Asian Universit y, Akbar Bhawan  Chanakyapuri   New Delhi    Delhi- 110021 ,http://www.southasianuniversity.org, +91-11-24122512-14; +91-11-24195000  +91-11-24122511,sau@southasianuniversity.org,Prof. G.K. Chada (President),+91 11 24195202/402,Dr. AK. Malik,+91 11 24195203
685,Haridev Joshi University of Journalism and Mass Communication,Information Center Sawai Ramsingh  Road Jaipur   Rajasthan- 302004 ,http://www.hjuj.ac.in,0141-2373761   2373739 ,info@hjuj.ac.in ,Shri. Sunny Sebastian,0141-2373762,Shri. S.K. Solanki,0141-2373761
686,Chhattisgarh Kamdhenu Vishwavidyalaya,"Anjora ,Durg     Chhattisgarh-  ",http://cgkv.ac.in/,  ,,Dr. Umesh K. Mishra,0771-4223613,Dr N.K. Nigam,0771-422361
687,Cotton University,Panbazar  Guwahati    Assam - 781001   ,https://cottonuniversity.ac.in/,0361-2733530  ,,Dhruba J. Saikia,+91-(0)376-2732012,Prof. Diganta Kr. Das,0361-2733530
688,North Orissa University,Baripada  District Mayurbhanj   Bhuabaneswar    Orissa - 757 003 ,http://www.nou.nic.in,  ,,,,,
689,Tamil Nadu Fisheries University,First Linebeach Road Nagapattinam    Tamil Nadu - 611 001 ,http://www.tnfu.org.in/university/wp/,  ,,Prof. Baskaran Manimaran,,Dr.K. Rathnakumar,
690,Sri Dev Suman Uttarakhand Vishwavidyalaya,Badshahithaul  Tehri Garhwal     Uttarakhand - 249 199 ,http://sdsuv.ac.in/,01376-254065  01376-254065 ,info@sdsuv.ac.in ,DR. U.S. Rawat,,,
691,Presidency  University,Itgalpur  Rajanakunte Bangaluru   Karnataka - 560064 ,http://presidencyuniversity.in,080-23093500  9845215960,info@presidencyuniversity.in,Dr Radha Padmanabhan,080-23093503,Mr A Abdul Bari,080-2309 3508
692,Thunchath Ezhuthachan Malayalam University,Aksharam Campus Vakkad PO   Tirur  Malappuram    Kerala - 676 502 ,http://malayalamuniversity.edu.in/en/,0494 2631230  ,info@malayalamuniversity.edu.i n,Dr. V. Anil Kumar,"0494 2631230,0494 2631240",Dr. T. Anithakumary, 0494 2631230 
693,OPJS University,VPO – Rawatsar Kunjla Near Sankhu Fort  Jhunjhunu Road   Rajasthan- Rajgarh (Sadulpur) Churu ,http://www.opjsuniversity.edu.in/,89501-10000  89503-30000  77260-09719  01559-290333  ,info@opjsuniversity.org,Prof. (Dr.) Dalel Singh,,DR. SARITA KARWASRA,
694,Tantia University,Near RIICO Bus Stand Hanumangarh Road Sri Ganganagar   Rajasthan- 335002 ,http://tantiauniversity.com,(0154) 2494131  9414093060  9414093505   9414093044  9414093051  9414093082,registrar@tantiauniversity.com              admission@tantiauniversity.com,Prof  M M Saxena,0154-2494130,Dr. Ashwini Gogia,0154-2494131
695,PES University,100 Feet Ring Road  BSK III Stage  Bangalore     Karnataka - 560 085 ,http://www.pes.edu,080-26721983  26722108  ,admissions@pes.edu,Dr. K. N Balasubramanya Murthy,,Dr. V Krishnamurthy ,
696,M.S. Ramaiah University of Applied Sciences,University House  Gnanagangothri Campus  New BEL Road M S R Nagar  Bangalore    Karnataka - 560 054 ,http://www.msruas.ac.in,080-45366666  ,uas@msruas.ac.in,Dr. S.R. Shankapal ,080-45366666,CA. N. C. Shekar,080-45366666
697,Xavier university,Bhubaneswar     Orissa -  - 751013 ,,  ,,Fr. Paul Fernandes  S. J. ,,Fr. (Dr.) Tony Uvary  S.J.,
698,C. U. Shah University,Surendranagar- Ahmedabad Highway Nr. Kothariya Village  Wadhwan City Surendranagar   Gujarat - 363030 ,http://www.cushahuniversity.ac.in,(02752) 294005  02752-247712,,Dr. H J Jani,,Dr. Ved Vyas Dwivedi,
699,CMR University,"2,3rd  'C' Cross  6th Main Road  IInd Block  HRBR Layout  Kalyan Nagar  Bangolare   Karnataka - 560 043 ",http://www.cmr.edu.in,080-25426977  080-25426988,info@cmr.edu.in,Dr. M.S. Shivakumar,080-25426977/88,Dr. Praveen R.,080-25426977/88
700,Srimanta Sankaradeva University of Health Sciences,Narakasur Hilltop  Bhangagarh Guwahati    Assam - 781032 ,http://ssuhs.in,91 0361 2130431  ,ssuhs_assam@yahoo.in,Prof. Umesh Ch. Sarma,,Dr. Manoj Kumar Choudhury,
701,Tamilnadu National Law School,Navalur Kuttapattu  Srirangam Taluk Tiruchirapalli     Tamil Nadu - 620 009 ,http://www.tnnls.in,  ,,,,,
702,Uttarakhand Ayurved University,7-A  Pleasant Valley Rajpur Road Dehradun    Uttarakhand - 248 009 ,http://www.uau.ac.in,  ,,,,,
703,Kazi Nazrul University,Nazrul Road  Kalla Bypass More PO – Kalla  C. H.  P. s. Asansol (North) Dist. Paschim Bardhman   West Bengal - 713 304 ,http://www.knu.ac.in,0341-2250456  ,,Prof. Sadhan Chakraborti,"9051711484,0341-2270456",Dr Subal Chandra De,0341-2270456
704,Indira Gandhi University,"Meerpur,Rewari      Haryana -  ",http://www.igu.ac.in, 01274-248753  54   01274 – 248754,universityindiragandhi@gmail.com ,,,,
705,Sri Satya Sai University of Technology & Medical Sciences,Bhopal - Indore Road Opposite Pachama Oil Fed Plant Pachama Sehore   Madhya Pradesh - 466001 ,http://sssutms.co.in,+91-7562-222482/223647/223646  778900027  7748900028 ,info@sssutms.co.in,Dr. Navin Chandra,,Dr. G.R. Selokar,
706,Madhav University,Madhav Hills  Opp. Banas Bridge Toll NH -14  Abu Road District - Sirohi   Rajasthan- 307 026 ,http://madhavuniversity.edu.in/,  ,,Prof. (Dr.) C. Ram Singla,,Dr. Ashok Babu Verma,
707,Rama University,Rama City  G.T. Road Mandhana  Kanpur    Uttar Pradesh - 209 217 ,http://ramauniversity.ac.in,0512-2780886  ,info@ramauniversity.ac.in,Dr. Janardhana Amaranath B J,0512-2780223,Shri Prabhat Ranjan,0512-2780224
708,Maulana Azad University,Kamla Nehru Nagar Jodhpur    Rajasthan- 342 008 ,,  ,,,,,
709,Tamil Nadu Music and Fine Arts University,Dr. D.G.S. Dinakaran Salai Chennai    Tamil Nadu - 600 088 ,,  ,,,,,
710,Hemwati Nandan Bahuguna Medical Education University,124  Ganga Vihar Opposite Roadways Workshop Haridwar Road  Dehradun   Uttarakhand - 248 001 ,,  ,,,,,
711,Shekhawati University,Behind Shri Kalyan Government College Sikar    Rajasthan- 332 001 ,,  ,,,,,
712,Al-Falah University,Faridabad     Haryana -  ,alfalahuniversity.edu.in,0129-2400605  09899303060  ,info@afset.org,Prof. Anil Kumar,0129-2400601  0129 2400602,Sh. M.D. Mughal,0129-2400600
713,BML Munjal University,67th KM Stone NH-8  Village Sidhrawali   Gurugram   Haryana - 122413 ,https://www.bml.edu.in,0124-2679002  ,registrar@bml.edu.in,Dr. Manoj K. Arora,91-124-2679002,Mr Abhay Sharma,0124-2679002
714,Team Lease Skills University,Tarsali-Vadodara Road Tarsali Bypass  Vadodara    Gujarat - 390 009 ,,  ,, Dr. Dileep Kamat   Provost,91-265-3309 119,Sh. K. Ashok Kumar,0265-3309123
715,Junagarh Agricultural University,Junagarh     Gujarat - 362 001 ,,  ,,,,,
716,Dr. Bhimrao Ambedkar Law University,89  Royal House  Khawasji Ka Bagh Durgapura  Tonk Road  Jaipur    Rajasthan- 302 018 ,,  ,,,,,
717,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry ,Bharsar  Pauri Garhwal Uttrakhand    Uttarakhand -  ,,  ,,,,,
718,ITM Vocational University,Plot No. 6512  Ajwa Nimeta Road  Raaval Taluka Waghodia  Vadodara   Gujarat -  ,,  ,,Dr. K S Murthy,,Sh. Chandrasekhar,
719,Pacific Medical University,Bhilo ka Bedla  Byepass NH - 27  Udiapur    Rajasthan-  ,,  ,,Dr. D.P. Agrawal,,Prof. A.L. Sahlot,
720,Dayananda Sagar University,Shavige Malleshwara Hills Kumaraswamy Layout  Banglore Karnataka   Karnataka - 560078 ,http://www.dsu.edu.in,080-42113566  ,registrar@dsu.edu.in,Dr. A.N.N. Murthy,080-42201997,Dr. Puttamadappa.C,080-42113566
721,Shri Ramasamy Memorial University  Sikkim,5th Mile  Tadong  Ranipool P.O. Gangtok   Sikkim - 737102 ,http://www.srmus.ac.in,91-3592 231666  232666  ,registrar@srmus.ac.in,Dr. N. Sethuraman,,"Prof Ch Satish Kumar,",91-3592 231666  232666
722,Madan Mohan Malaviya University of Technology,Gorakhpur     Uttar Pradesh - 273 010 ,http://www.mmmut.ac.in,+91-551-2273958  +91-551-6050001  0551-2270011  0551-6050015,,Prof.Sri Niwas Singh,0551-2273958,Dr.Jeeoot Singh,8765783734
723,Ashoka University,"Plot No. 2 Rajiv Gandhi Education City,Kundli,NCR NCR Sonepat  Haryana    Haryana - 131 028 ",www.ashoka.edu.in,+91 130 2300000  ,info@ashoka.edu.in,Prof. Malabika Sarkar,0130 2300331,Mr. Sachin Sharma,0130 2300209
724,Amity University,"Mumbai-Pune Expressway  Bhatan,Post - Somathne  Panvel,Mumbai   Maharashtra - 410206 ",http://www.amity.edu/mumbai/,  ,,Prof (Dr) V V Khole,,Sh. B.M. Mittal,
725,Rajiv Gandhi National Aviation University,Fursatganj  D.T.  Raebareli  Uttar Pradesh   Uttar Pradesh -  ,,  ,,,,,
726,Nagaland University,HQ: Lumami Dist: Zunheboto Nagaland   Nagaland - 798 627 ,http://www.nagauniv.org.in/,  ,,Prof. Bolin Kumar Konwar,0369-2268268,Prof. T. Lanusosang ,0369-2268270
727,North East Frontier Technical University,Sibu-Puyi  Aalo (PO) West Siang (Distt.)    Arunachal Pradesh - 791001 ,https://www.neftu.edu.in/,  ,,Dr TejumPadu,3783222555,Dr Alok Kumar,3783222444
728,Chaudhary Ranbir Singh University,Jind     Haryana -  ,http://www.crsujind.org,  ,,,,,
729,Rayat Bahra University,VPO - Sahauran  Tehsil - Kharar Disst. - Mohali Punjab   Punjab - 140104 ,http://www.rayatbahrauniversity.edu.in,0160-5009665  0160-5009671,info@rayatbahrauniversity.edu.in,Prof. (Dr.) Daljit Singh,0160-5009665,Prof. (Dr.) O P Midha,0160-5009675
730,Amity University,Village Manth  Tehsil- Tilda  Dist.- Raipur    Chhattisgarh-  ,,  ,,,,,
731,Nizam's Institute of Medical Sciences,Punjagutta Hyderabad    Telangana- 500082 ,http://www.nims.edu.in/,+914023489244  +914023489245,nims@ap.nic.in,,,,
732,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Haladhar Bhuyan Path Kalongpar Nagaon   Assam - 782001 ,http://www.sankaradeva.com,09435052648  03672-231146,mssvnagaon@gmail.com,,,,
733,Arunodaya University,"Lekhi Village  Naharlagun Itanagar   Distt. Papum Pare,   Arunachal Pradesh - 791109 ",http://www.arunodayauniversity.ac.in,9402853177,info@arunodayauniversity.ac.in,Dr. V N Sharma,, Mr. S R Verma,
734,Rai Technology University,Doddaballapur Nelmangala Road SH-74  Off Highway 207  Doddaballapur Taluk  Bangalore   Karnataka - 561204 ,,  ,,Dr NIssar Ahmed Khan,,Dr. Chikkaraju S N,
735,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Jabalpur     Madhya Pradesh - 482001 ,,  ,, Prof.Bhuvnesh Sharma,,Sh. Arvind Singh Rajput,
736,IIHMR University,1  Prabhu Dayal Marg  Near Sanganer Airport Jaipur   Rajasthan- 302029 ,http://www.iihmr.edu.in,0141-3924700  ,iihmr@iihmr.edu.in,Dr. Pankaj Gupta,0141-3924700,Mr. Hem K. Bhargava,0141-3924700
737,Maharishi University of Information Technology,Maharishi Bal Vidya Mandir & University Campus Sitapur Road  Post-Diburia Lucknow   Uttar Pradesh - 226020 ,http://www.muit.in,180030005444   0522-2771509,info@muit.in,Dr Bhanu Pratap Singh,9958701625,Dr Akhand Pratap Singh,0522-2771509
738,Jaypee University,Aligarh Road  Anoopshahar Dist. Bulandshahar    Uttar Pradesh - 203 390 ,http://www.jaypeeu.ac.in,05734-296777  05734-275661  ,webadmin@mail.jaypeeu.ac.in,Sh. S.C. Saxena,0120-2400973 0120-2400975,Col. Vijay Kumar,
739,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Mathura Uttar Pradesh    Uttar Pradesh - 281001 ,http://www.upvetuniv.edu.in,  ,,,,,
740,Assam Women's University,Jorhat Assam    Assam - 785001 ,,  ,,,,,
741,Adamas University,Barasat  Barrackpore Road Barberia  PO Jagannathpur PS Barasat  Kolkata   West Bengal - 700126 ,,  ,,,,,
742,Adamas University,Barasat  Barrackpore Road Barberia  PO Jagannathpur PS Barasat  Kolkata   West Bengal - 700126 ,,  ,,,,,
743,Sarvepalli Radhakrishnan University,NH-12  Hoshangabad Road Jatkhedi  Bhopal   Madhya Pradesh -  ,http://www.srku.edu.in/,  ,,Dr. S.S.Kushwah,,Dr.Richa Gupta,
744,GNA University,Village Sri Hargobindgarh Phagwara  Distt. Kapurthala   Punjab - 144401 ,,  ,,,,,
745,Seacom Skills University,Village-Kendradanga  PO - Sattore  PS - Panrui  Dist - Birbhum   West Bengal - 731236 ,http://www.seacomskillsuniversity.org/seacomweb/index.php,08101948766  08237490466  033-24307111/1691,info_ssu@seacomgroup.com,Dr Manjusha Tarafdar,,Dr. P K Das,
746,State University of Performing and Visual Arts,Sector-6 Rohtak    Haryana -  ,,  ,,,,,
747,University of Engineering and Management,University Area  Plot No. III-B/5  Main Arterial Road (East-West)  New town  Action Area-III  Kolkata   West Bengal - 700156 ,,  ,,,,,
748,JIS University,Agarpara District North 24 Parganas    West Bengal -  ,,  ,,,,,
749,Abhilashi University,Chailchowk (Chaichiot) distt. Mandi    Himachal Pradesh -  ,,  ,,,,,
750,Professor Jayashankar Telangana State Agricultural University,Rajendranagar Hyderabad    Telangana- 500030 ,,  ,,,,,
751,Cooch Behar Panchanan Barma University,Vibekananda Road Cooch Behar    West Bengal - 736101 ,http://cbpbu.ac.in/,03582-230218  ,info@cbpbu.ac.in,Dr. Debkumar Mukhopadhyay,03582-229030,Dr. Abdul Kader Safily,03582-230218
752,Sant Baba Bhag Singh University,Village-Khiala  PO-Padhiana Dist-Jalandhar   Punjab - 144 030 ,http://www.sbbsuniversity.ac.in,0181-2711163  ,info@sbbsuniversity.ac.in,Dr. Jatinder Singh Bal,0181-2711167,Dr. Seema Garg,0181-2711555
753,O.P. Jindal University,Knowledge Park  Gharghoda Road  Punjipathra  Raigarh   Chhattisgarh- 496109 ,http://www.opju.ac.in,+91-7762-304000  ,,Dr. Prabhu K. Aggarwal,07762-304004,Dr R. D. Patidar,07762-304003
754,Institute of Trans-Disciplinary Health Sciences and Technology,74/2  Jarakabande Kaval  Yelahanka  Via Attur Post Banglore   Karnataka - 560064 ,,  ,,,,,
755,Spicer Adventist University,Aundh Road  Ganeshkhind Post  Pune   Maharashtra - 411007 ,http://www.sau.edu.in,020-25807000  020-25807001,,Dr. Sanjeevan Arsud,020-25807002,Dr. Simon Yesu,020-25807006
756,Lakulish Yoga University,Lotus View  Opp. Nirma University  S.G. Highway  Chharodi  Ahmedabad   Gujarat - 382481 ,,  ,,,,,
757,Sri Konda Laxman Telangana State Horticultural University,Rajendranagar Hyderabad    Telangana- 500030 ,,  ,,,,,
758,Mahatma Gandhi Central University,Opposite Circuit House Motihari Distt.: East Champaran   Bihar - 845401 ,,  ,,Prof (Dr) Sanjeev Kumar Sharma,06252- 241007  241008,,
759,Ajeenkya D.Y. Patil University,Charholi  Budruk Via Lohegaon  Pune   Maharashtra - 412105 ,http://adypu.edu.in/,020-67077942  ,info@adypu.edu.in,Dr E B Khedkar,020-67077942,Mr. R V Paul,020-67077942
760,Flame University,GAT No. 1270 Village Lavale Taluka Mulshi  Pune   Maharashtra - 411042 ,,  ,,,,,
761,Parul University,PO Limda Tal - Waghodia Dist. Vadodara   Gujarat - 391760 ,http://www.paruluniversity.ac.in,02668-260300  307  09879105597  09409395076,info@paruluniversity.ac.in,Dr. M. N. Patel,02668-260-355,Dr. H. S. Vijayakumar,02668-260352
762,G.L.S. University,Gujarat Law Society Campus Opp. Law Garden Ellisbridge  Ahmedabad   Gujarat - 380006 ,,  ,,,,,
763,The Neotia University,Jhinga Sarisa D.H.Road 24 Parganas(S)   West Bengal - 743368 ,www.tnu.in,033-40084848  ,info@tnu.in,Prof. A. S. Kolaskar,033-40084848,Dr. Rajiv Verma,033-40084848
764,Srinivas University,Srinivas Group of Colleges  Campus  Srinivas Nagar  Mukka  Surathkal Mangalore   Karnataka - 574146. ,www.srinivasuniversity.ac.in  www.srinivasuniversity.edu.in,0824-2444891  0824-2421566,info@srinivasuniversity.edu.in,Prof. Dr. P.S. Aithal,0824-241183,Prof. Dr. Anil Kumar,0824-2422381
765,Sangai International University,Churachandpur     Manipur-  ,,  ,,,,,
766,R.N.B. Global University,RNB Global City  Ganganagar Road Bikaner   Rajasthan- 334601 ,www.rnbglobal.edu.in,0151-5156000  ,info@rnbglobal.edu.in,Lieutenant General R.K Karwal,0151-5156000,Dr. Manjoo Saraswat,0151-5156000
767,Raj Rishi Bhartrihari Matsya University,Girls Hostel Building Babu Shobharam Government Arts College Campus Alwar   Rajasthan- 301001 ,,  ,,,,,
768,LNCT University,JK Town Sarvadharam C sector  Kolar Road  Bhopal   Madhya Pradesh - 462024 ,,0755-4087005/23  ,lnctuniversity@gmail.com,Dr S C Tiwari,0755-4087005,Dr R K Chaurasia,0755-4087029
769,Diamond Harbour Women's University,Sarisha Diamond Harbour Road   District: South 24 paraganas     West Bengal - 743368 ,http://www.dhwu.ac.in,  ,,,,,
770,Motherhood University,Village- Karondi post - Bhagwanpur Roorkee  Distt. Hardwar   Uttarakhand -  ,www.motherhooduniversity.edu.in,07060800156  07060800157,info@motherhooduniversity.edu.in,Prof. (Dr.) Narendra Sharma,01332-232810   Extn.501,Shri.R.Kasturi,01332-232810   Extn.510
771,GSFC University,Vigyan Bhavan PO Fertilizernagar Dist. Vadodara   Gujarat - 391750 ,http://www.gsfcuni.edu.in,0265-3093740  ,info@gsfcuniversity.ac.in,Shri B. B. Bhayani (I/C),0265-3093512,Shri S. P. Bhatt (I/C),0265-3093577
772,Akal University,Talwandi Sabo Dist. Bhathinda    Punjab - 151302 ,www.auts.ac.in,"7087775533,7087775544  7087775566  7087775588",info@auts.ac.in,Dr Gurmail Singh ,,Dr sawam Singh,
773,Amity University,Rajarhat New Town Dist. North 24 Parganas   West Bengal -  ,http://www.amity.edu,033 44012802  ,registrar@kol.amity.edu,Prof. Dhrubajyoti Chattopadhyay,033-23349382,Wg. Cdr.(Retd.) D. K. Banerji,
774,J.S. University,Shikohabad Firozabad Uttar pradesh   Uttar Pradesh - 283135 ,www.jsu.ac.in,05676-235572  ,jsuniversityshikohabad@gmail.com,Prof. Hari Mohan,,Sh. Nandan Kumar Mishra,05676-235572
775,Bankura University,Puabagan Camp Office  PO Bhagabandh  Dist. Bankura   West Bengal - 722146 ,,  ,,,,,
776,West Bengal University of Teachers  Training  Education Planning and Administration,25/2 & 25/3  Ballygunge Circular Road Kolkata    West Bengal - 700019 ,,  ,,,,,
777,Sanchi University of Buddhist-Indic Studies,2nd Floor  Institute of Good Governance & Policy Analysis Bhadbhada Square  Bhopal   Madhya Pradesh - 462003 ,http://www.sanchiuniv.edu.in,0755-2773256  ,info@subis.edu.in,Acharya Prof Dr Yajneshwar S Shastri,0755-2773256,Shri Rajesh Gupta  IPS,0755-2773256
778,Indian Institute of Public Health,Opposite Air-Force Headquarters Gandhinagar Near Lekawada Bus Stop  Gandhinagar-Chiloda road CRPF  P. O. Lekawada  Gandhinagar   Gujarat - 382042 ,,  ,,,,,
779,Institute of Advanced Research,Institutional Area  Koba  Gandhinagar   Gujarat - 382007 ,https://www.iar.ac.in,079-30514100  ,contact@iar.ac.in,Prof. Rao Bhamidimarri,079-30514200,Dr. Rajendra Takale,079-30514106
780,Manav Rachna University,Sector-43  Delhi-Surajkund Road  Faridabad   Haryana -  ,http://mru.edu.in/,0129-4268500  ,info@mru.edu.in,VC Prof(Dr) Sanjay Srivastava,0129-4268502,Dr Kameshwer Singh,0129-4268584
781,Ch. Bansi Lal University,Bhiwani     Haryana - 127021 ,http://www.cblu.ac.in,01664-245210  ,,,,,
782,Maharaja Ranjit Singh Punjab Technical University,Dabwali Road Bathinda    Punjab - 151001 ,,  ,,,,,
783,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,Chhatarpur      Madhya Pradesh -  ,,  ,,,,,
784,Delhi Pharmaceutical Sciences & Research University,"DISPAR Campus  Sector - III  Pushp Vihar  M B Road,   Delhi- 110017 ",www.dpsru.edu.in,"011-29554327,29554649,29553771  ",communication@dpsru.edu.in,Prof Ramesh K Goyal,011-29552022,Prof Raman Dang,"011-29553685,86"
785,A.P.J. Abdul Kalam Technological University,CET Campus  Thiruvananthapuram    Kerala - 695016 ,,  ,,,,,
786,KLE Technological University,B.V. Bhoomarddi College Campus  Vidyanagar  Hubballi   Karnataka - 580031 ,http://kletech.ac.in/,0836-2378102  ,info@kletech.ac.in,Dr Ashok Shettar,0836-2378102,Prof. B L Desai ,0836-2374985
787,University of Horticultural Sciences,"Bagalkot,Udyanagiri Near Seemikeri Cross  Bagalkot   Karnataka - 587104 ",,  ,,,,,
788,Gujarat University of Transplantation Sciences,IKDRC-ITS Premises  Civil Hospital Campus  Asarwa  Ahmedabad   Gujarat - 380016 ,http://www.guts.education/,+91 79 22682241  , info@guts.education,Dr. Veena R. Shah,+91 79 22685009,Dr. Kamal V. Kanodia,+91 79 22682231
789,Institute of Infrastructure Technology Research and Management,Near Khokhara Circle Maninagar (East)   Ahmedabad  Gujarat   Gujarat - 380026 ,http://iitram.ac.in, +91 079 29292910 / 20  ,office@iitram.ac.in,,,Dr. N.N.Bhuptani,
790,Maharaja Surajmal Brij University,M.S.J. College  Campus Home » Contact Us Contact Us  Maharaja Surajmal Brij  University M.S.J. College  Campus Bharatpur     Rajasthan- 321001 ,http://www.brijuniversity.ac.in/,  ,,Prof. K. D. Swami,05644-220229 ,,05644-220560 
791,Maharishi Arvind University  Jaipur,Mundiaramsar   Near Bindayaka Industrial Area  Jaipur   Rajasthan- 302012 ,,  ,,,,,
792,P.K. University,"Village - Thanara,Teh - Karera  NH-27  Shivpuri District - Shivpuri   Madhya Pradesh - 473551 ",http://pkuniversity.edu.in/,  ,pkuniversityhr@gmail.com,Dr Balveer Singh,9897353111,Dr Chetan P Namade,9826544478
793,RIMT University,Opposite Floating Restaurant  Sirhind Side   Mandi Gobindgarh   Punjab - 147301 ,http://www.rimt.ac.in/,"01765 523230  01265 523156,523157",info@rimt.ac.in,Dr A S Chawla,01765 523202,Shri Rakesh Mohan,01765 523177
